APIs,TN,FN,FP,TP,Precision,Recall,F1 Score
CONVERT_TEXT_TO_SPEECH,0.0,0.0,3.0,57.0,0.95,1.0,0.974
CREATE_CALENDAR_EVENT,0.0,0.0,30.0,30.0,0.5,1.0,0.667
CREATE_REMINDER,0.0,0.0,8.0,52.0,0.87,1.0,0.929
GENERATE_IMAGE,0.0,26.0,0.0,34.0,1.0,0.57,0.723
GET_CALENDAR_EVENTS,6.0,8.0,6.0,40.0,0.87,0.83,0.851
GET_CURRENT_DATE_AND_TIME,0.0,0.0,0.0,60.0,1.0,1.0,1.0
GET_CURRENT_STOCK_PRICE,0.0,0.0,0.0,60.0,1.0,1.0,1.0
GET_NEWS,0.0,0.0,0.0,60.0,1.0,1.0,1.0
GET_WEATHER,1.0,1.0,4.0,57.0,0.93,0.98,0.958
NOT_AVAILABLE,308.0,1.0,45.0,3.0,0.06,0.75,0.115
SEND_EMAIL,0.0,0.0,0.0,60.0,1.0,1.0,1.0
Cumulative,315.0,36.0,96.0,513.0,0.84,0.93,0.886
