APIs,TN,FN,FP,TP,Precision,Recall,F1 Score
CONVERT_TEXT_TO_SPEECH,0.0,0.0,0.0,60.0,1.0,1.0,1.0
CREATE_CALENDAR_EVENT,0.0,0.0,36.0,24.0,0.4,1.0,0.571
CREATE_REMINDER,0.0,0.0,0.0,60.0,1.0,1.0,1.0
GENERATE_IMAGE,1.0,2.0,0.0,57.0,1.0,0.97,0.983
GET_CALENDAR_EVENTS,15.0,7.0,3.0,35.0,0.92,0.83,0.875
GET_CURRENT_DATE_AND_TIME,0.0,0.0,0.0,60.0,1.0,1.0,1.0
GET_CURRENT_STOCK_PRICE,1.0,0.0,0.0,59.0,1.0,1.0,1.0
GET_NEWS,10.0,10.0,0.0,40.0,1.0,0.8,0.889
GET_WEATHER,1.0,0.0,0.0,61.0,1.0,1.0,1.0
NOT_AVAILABLE,242.0,0.0,11.0,7.0,0.39,1.0,0.56
SEND_EMAIL,0.0,0.0,0.0,60.0,1.0,1.0,1.0
Cumulative,270.0,19.0,50.0,523.0,0.91,0.96,0.938
