APIs,TN,FN,FP,TP,Precision,Recall,F1 Score
CONVERT_TEXT_TO_SPEECH,0.0,1.0,1.0,58.0,0.98,0.98,0.983
CREATE_CALENDAR_EVENT,0.0,0.0,37.0,23.0,0.38,1.0,0.554
CREATE_REMINDER,0.0,0.0,1.0,59.0,0.98,1.0,0.992
GENERATE_IMAGE,6.0,2.0,0.0,52.0,1.0,0.96,0.981
GET_CALENDAR_EVENTS,24.0,6.0,10.0,20.0,0.67,0.77,0.714
GET_CURRENT_DATE_AND_TIME,0.0,0.0,0.0,60.0,1.0,1.0,1.0
GET_CURRENT_STOCK_PRICE,0.0,0.0,0.0,60.0,1.0,1.0,1.0
GET_NEWS,0.0,2.0,43.0,15.0,0.26,0.88,0.4
GET_WEATHER,0.0,0.0,5.0,57.0,0.92,1.0,0.958
NOT_AVAILABLE,240.0,0.0,10.0,9.0,0.47,1.0,0.643
SEND_EMAIL,0.0,0.0,0.0,60.0,1.0,1.0,1.0
Cumulative,270.0,11.0,107.0,473.0,0.82,0.98,0.889
